web-scraper-order,Car Model,Old Price,Price Change,New Price,date_range
1680210890-1,Porsche Cayenne A/T / Coupe 2020,"2,262,876
EGP","trending_down
-82,876
EGP","2,180,000
EGP",18/11/2020
1680210890-2,Porsche Cayenne A/T / Coupe 2020,"2,078,727
EGP","trending_up
+184,149
EGP","2,262,876
EGP",14/10/2019
1680210890-3,Porsche Cayenne A/T / S 2020,"2,388,000
EGP","trending_down
-93,000
EGP","2,295,000
EGP",18/11/2020
1680210890-4,Porsche Cayenne A/T / S 2020,"2,262,876
EGP","trending_up
+125,124
EGP","2,388,000
EGP",15/10/2019
1680210890-5,Lexus LX 570 Automtic 2020,"5,600,000
EGP","trending_down
-350,000
EGP","5,250,000
EGP",18/05/2020
1680210890-6,Lexus LX 570 Automtic 2020,"5,800,000
EGP","trending_down
-200,000
EGP","5,600,000
EGP",15/12/2019
1680210890-7,Lexus LX 570 Automtic 2020,"5,800,000
EGP","trending_down
-350,000
EGP","5,450,000
EGP",18/05/2020
1680210890-8,Lexus ES 350 Automtic 2020,"2,830,000
EGP","trending_down
-180,000
EGP","2,650,000
EGP",18/05/2020
1680210890-9,Lexus ES 350 Automtic 2020,"2,650,000
EGP","trending_up
+180,000
EGP","2,830,000
EGP",18/12/2019
1680210890-10,Lexus LS 500 Automtic 2020,"5,400,000
EGP","trending_down
-400,000
EGP","5,000,000
EGP",18/05/2020
1680210890-11,Lexus LS 500 Automtic 2020,"6,150,000
EGP","trending_down
-450,000
EGP","5,700,000
EGP",18/05/2020
1680210890-12,Lexus LS 500 Automtic 2020,"6,750,000
EGP","trending_down
-500,000
EGP","6,250,000
EGP",18/05/2020
1680210890-13,Lexus ES 350 Automtic 2020,"2,150,000
EGP","trending_up
+350,000
EGP","2,500,000
EGP",18/05/2020
1680210890-14,Lexus ES 350 Automtic 2020,"2,650,000
EGP","trending_down
-500,000
EGP","2,150,000
EGP",18/05/2020
1680210890-15,Porsche Macan A/T 2020,"1,253,000
EGP","trending_down
-61,000
EGP","1,192,000
EGP",11/11/2020
1680210890-16,Porsche Macan A/T / S 2020,"1,825,000
EGP","trending_up
+225,000
EGP","2,050,000
EGP",11/11/2020
1680210890-17,Porsche Boxster M/T / 718 2020,"1,477,000
EGP","trending_down
-67,000
EGP","1,410,000
EGP",11/11/2020
1680210890-18,Toyota Corolla Automatic / SMART / Sun Roof 2022,"500,000
EGP","trending_up
+70,000
EGP","570,000
EGP",16/09/2022
1680210890-19,Toyota Corolla Automatic / SMART / Sun Roof 2022,"465,000
EGP","trending_up
+35,000
EGP","500,000
EGP",18/07/2022
1680210890-20,Toyota Corolla Automatic / SMART / Sun Roof 2022,"420,000
EGP","trending_up
+45,000
EGP","465,000
EGP",7/4/2022
1680210890-21,Toyota Corolla Automatic / SMART / Sun Roof 2022,"417,000
EGP","trending_up
+3,000
EGP","420,000
EGP",9/1/2022
